17:25:05.577 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackEnabled
17:25:05.579 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
17:25:05.580 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackEnabled : true P/BrowserStack_POC
17:25:05.580 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackDisabled
17:25:05.580 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
17:25:05.580 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackDisabled : false P/BrowserStack_POC
17:25:06.961 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackEnabled
17:25:06.962 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
17:25:06.966 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackEnabled : true P/BrowserStack_POC
17:25:06.967 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackDisabled
17:25:06.967 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
17:25:06.968 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackDisabled : false P/BrowserStack_POC
17:26:14.854 [main] INFO  c.b.launchers.LaunchMavenCommand - Executing maven archetype command - browserstack-sdk-archetype-integrate
17:26:14.894 [main] INFO  c.b.launchers.LaunchMavenCommand - The maven properties for launcher are [archetypeArtifactId=browserstack-sdk-archetype-integrate, BROWSERSTACK_ACCESS_KEY=xptzyxhTpgWqRzWZFZvX, groupId=com.browserstack, BROWSERSTACK_APP=bs://sample.app, BROWSERSTACK_FRAMEWORK=testng, version=1.0, PROJECT_NAME=BrowserStack Sample, archetypeVersion=1.2, archetypeGroupId=com.browserstack, artifactId=java-archetype-integrate, BROWSERSTACK_USERNAME=mainakmukherjee_Qk5gaU, BUILD_NAME=browserstack build, BROWSERSTACK_SOURCE=testng:appium-eclipse:v1.0.3]
17:26:14.907 [Worker-82: Launching mavenrun-93de139b-5adc-407b-a83d-645787d41963] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
17:27:51.018 [Worker-86: Launching Android.test1] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
17:27:51.041 [Worker-86: Launching Android.test1] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
17:27:51.044 [Worker-86: Launching Android.test1] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
17:27:51.045 [Worker-86: Launching Android.test1] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.3}
17:30:21.460 [Worker-88: Launching Android.test1] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
17:30:21.466 [Worker-88: Launching Android.test1] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
17:30:21.467 [Worker-88: Launching Android.test1] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
17:30:21.467 [Worker-88: Launching Android.test1] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.3}
17:33:06.305 [Worker-93: Launching Android.test1] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
17:33:06.318 [Worker-93: Launching Android.test1] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
17:33:06.321 [Worker-93: Launching Android.test1] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
17:33:06.321 [Worker-93: Launching Android.test1] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.3}
17:33:25.685 [Worker-92: Launching Android.test1] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
17:33:25.687 [Worker-92: Launching Android.test1] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
17:33:25.694 [Worker-92: Launching Android.test1] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
17:33:25.694 [Worker-92: Launching Android.test1] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.3}
17:40:01.457 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackEnabled
17:40:01.458 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
17:40:01.459 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackEnabled : true P/BrowserStack_POC
17:40:01.459 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackDisabled
17:40:01.459 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
17:40:01.459 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackDisabled : false P/BrowserStack_POC
17:40:02.800 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackEnabled
17:40:02.801 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
17:40:02.802 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackEnabled : true P/BrowserStack_POC
17:40:02.803 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackDisabled
17:40:02.804 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
17:40:02.805 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackDisabled : false P/BrowserStack_POC
17:40:05.167 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackEnabled
17:40:05.167 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
